hierarchy level 1,hierarchy level 2,hierarchy level 3,hierarchy level 4,gene,area_xyl,area_glu,%  change in level 1 mass fraction after 12 h in glu compared to xyl,%  change in level 2 mass fraction after 12 h in glu compared to xyl,%  change in level 3 mass fraction after 12 h in glu compared to xyl,%  change in level 4 mass fraction after 12 h in glu compared to xyl
Cell cycle and differentiation,Motility,Flagellum,CCNA_01529:A0A0H3C860,CCNA_01529,,,-11.2042285979413,-38.9827528260541,-43.3423107853332,#VALUE!
Cell cycle and differentiation,Motility,Flagellum,fljM:A0A0H3C7X1,fljM,0.057294558611546,0.03341535564092,-11.2042285979413,-38.9827528260541,-43.3423107853332,-41.68
Cell cycle and differentiation,Motility,Flagellum,fljK:A0A0H3C7K6,fljK,0.061338789874845,0.02691225800699,-11.2042285979413,-38.9827528260541,-43.3423107853332,-56.13
Cell cycle and differentiation,Motility,Flagellum,flhB:A0A0H3C7D6,flhB,,,-11.2042285979413,-38.9827528260541,-43.3423107853332,#VALUE!
Cell cycle and differentiation,Motility,Flagellum,fliR:A0A0H3C772,fliR,,,-11.2042285979413,-38.9827528260541,-43.3423107853332,#VALUE!
Cell cycle and differentiation,Motility,Flagellum,flgC:A0A0H3C743,flgC,,,-11.2042285979413,-38.9827528260541,-43.3423107853332,#VALUE!
Cell cycle and differentiation,Motility,Flagellum,flgB:A0A0H3C6X7,flgB,,,-11.2042285979413,-38.9827528260541,-43.3423107853332,#VALUE!
Cell cycle and differentiation,Motility,Flagellum,fliG:A0A0H3C6V1,fliG,0.003868112379633,0.003445955579958,-11.2042285979413,-38.9827528260541,-43.3423107853332,-10.91
Cell cycle and differentiation,Motility,Flagellum,flgD:A0A0H3C6U8,flgD,,,-11.2042285979413,-38.9827528260541,-43.3423107853332,#VALUE!
Cell cycle and differentiation,Motility,Flagellum,fljL:A0A0H3C6U1,fljL,0.045056702816709,0.017645724564177,-11.2042285979413,-38.9827528260541,-43.3423107853332,-60.84
Cell cycle and differentiation,Motility,Flagellum,flhA:A0A0H3C6S4,flhA,0.004347859548656,0.003760128211194,-11.2042285979413,-38.9827528260541,-43.3423107853332,-13.52
Cell cycle and differentiation,Motility,Flagellum,fliF:A0A0H3C6R7,fliF,0.013590495814426,0.008428064932497,-11.2042285979413,-38.9827528260541,-43.3423107853332,-37.99
Cell cycle and differentiation,Motility,Flagellum,fliQ:A0A0H3C6J4,fliQ,,,-11.2042285979413,-38.9827528260541,-43.3423107853332,#VALUE!
Cell cycle and differentiation,Motility,Flagellum,fliO:A0A0H3C688,fliO,0.001828158798388,0.001373174866977,-11.2042285979413,-38.9827528260541,-43.3423107853332,-24.89
Cell cycle and differentiation,Motility,Flagellum,fljO:A0A0H3C5N8,fljO,,,-11.2042285979413,-38.9827528260541,-43.3423107853332,#VALUE!
Cell cycle and differentiation,Motility,Flagellum,motA:A0A0H3C5K4,motA,0.005177318995171,0.003326323050033,-11.2042285979413,-38.9827528260541,-43.3423107853332,-35.75
Cell cycle and differentiation,Motility,Flagellum,fliP:A0A0H3C588,fliP,,,-11.2042285979413,-38.9827528260541,-43.3423107853332,#VALUE!
Cell cycle and differentiation,Motility,Flagellum,fliN:A0A0H3C514,fliN,,,-11.2042285979413,-38.9827528260541,-43.3423107853332,#VALUE!
Cell cycle and differentiation,Motility,Flagellum,flaN:A0A0H3C503,flaN,,,-11.2042285979413,-38.9827528260541,-43.3423107853332,#VALUE!
Cell cycle and differentiation,Motility,Flagellum,fljN:A0A0H3C4Q0,fljN,0.053897818364219,0.032301348064413,-11.2042285979413,-38.9827528260541,-43.3423107853332,-40.07
Cell cycle and differentiation,Motility,Chemotaxis,cheD:B8GZ98,cheD,0.012669471085408,0.007779968758577,-11.2042285979413,-38.9827528260541,-42.2171154850768,-38.59
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_03585:A0A0H3CFC3,CCNA_03585,,,-11.2042285979413,-38.9827528260541,-42.2171154850768,#VALUE!
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_03247:A0A0H3CEE6,CCNA_03247,0.023576665139848,0.012271830550427,-11.2042285979413,-38.9827528260541,-42.2171154850768,-47.95
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_02940:A0A0H3CDH7,CCNA_02940,0.035093918629957,0.017885405658927,-11.2042285979413,-38.9827528260541,-42.2171154850768,-49.04
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_02935:A0A0H3CDH1,CCNA_02935,0.047907545767208,0.027467802336612,-11.2042285979413,-38.9827528260541,-42.2171154850768,-42.66
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_03459:A0A0H3CDC1,CCNA_03459,,,-11.2042285979413,-38.9827528260541,-42.2171154850768,#VALUE!
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_03120:A0A0H3CCB8,CCNA_03120,0.002301227681779,0.001192867838985,-11.2042285979413,-38.9827528260541,-42.2171154850768,-48.16
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_03586:A0A0H3CBZ1,CCNA_03586,0.001411352056473,0.000968429541374,-11.2042285979413,-38.9827528260541,-42.2171154850768,-31.38
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_02364:A0A0H3CBW6,CCNA_02364,0.037925260395047,0.036557488231657,-11.2042285979413,-38.9827528260541,-42.2171154850768,-3.61
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_02332:A0A0H3CBT5,CCNA_02332,0.002792609693333,0.002042418001865,-11.2042285979413,-38.9827528260541,-42.2171154850768,-26.86
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_02976:A0A0H3CB44,CCNA_02976,0.007404514209644,0.002920229903252,-11.2042285979413,-38.9827528260541,-42.2171154850768,-60.56
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_02402:A0A0H3CAJ9,CCNA_02402,0.045735657934672,0.026143973412129,-11.2042285979413,-38.9827528260541,-42.2171154850768,-42.84
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_01465:A0A0H3C800,CCNA_01465,,,-11.2042285979413,-38.9827528260541,-42.2171154850768,#VALUE!
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_00632:A0A0H3C7F2,CCNA_00632,,,-11.2042285979413,-38.9827528260541,-42.2171154850768,#VALUE!
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_01727:A0A0H3C7A0,CCNA_01727,0.028425316483249,0.022700877023435,-11.2042285979413,-38.9827528260541,-42.2171154850768,-20.14
Cell cycle and differentiation,Motility,Chemotaxis,cheE:A0A0H3C6W4,cheE,0.002246751131523,0.00147953510515,-11.2042285979413,-38.9827528260541,-42.2171154850768,-34.15
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_00444:A0A0H3C6W0,CCNA_00444,0.008671081198744,0.00358729133785,-11.2042285979413,-38.9827528260541,-42.2171154850768,-58.63
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_00439:A0A0H3C6V6,CCNA_00439,0.103491030574365,0.045267586928892,-11.2042285979413,-38.9827528260541,-42.2171154850768,-56.26
Cell cycle and differentiation,Motility,Chemotaxis,cheW:A0A0H3C687,cheW,,,-11.2042285979413,-38.9827528260541,-42.2171154850768,#VALUE!
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_00443:A0A0H3C5X0,CCNA_00443,0.002236659535838,0.001070864249013,-11.2042285979413,-38.9827528260541,-42.2171154850768,-52.12
Cell cycle and differentiation,Motility,Chemotaxis,cheAII:A0A0H3C5W6,cheAII,,,-11.2042285979413,-38.9827528260541,-42.2171154850768,#VALUE!
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_00538:A0A0H3C5P6,CCNA_00538,,,-11.2042285979413,-38.9827528260541,-42.2171154850768,#VALUE!
Cell cycle and differentiation,Motility,Chemotaxis,cheU:A0A0H3C5F3,cheU,0.001014010426104,0.000456665529053,-11.2042285979413,-38.9827528260541,-42.2171154850768,-54.96
Cell cycle and differentiation,Motility,Chemotaxis,cheAI:A0A0H3C5E9,cheAI,0.062803115587432,0.035140485845452,-11.2042285979413,-38.9827528260541,-42.2171154850768,-44.05
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_00437:A0A0H3C5E5,CCNA_00437,,,-11.2042285979413,-38.9827528260541,-42.2171154850768,#VALUE!
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_00634:A0A0H3C577,CCNA_00634,,,-11.2042285979413,-38.9827528260541,-42.2171154850768,#VALUE!
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_00629:A0A0H3C572,CCNA_00629,,,-11.2042285979413,-38.9827528260541,-42.2171154850768,#VALUE!
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_00064:A0A0H3C560,CCNA_00064,,,-11.2042285979413,-38.9827528260541,-42.2171154850768,#VALUE!
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_00348:A0A0H3C535,CCNA_00348,0.054308415820918,0.027935355277136,-11.2042285979413,-38.9827528260541,-42.2171154850768,-48.56
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_00543:A0A0H3C4X3,CCNA_00543,0.004737641160387,0.003352474994435,-11.2042285979413,-38.9827528260541,-42.2171154850768,-29.24
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_00446:A0A0H3C4P3,CCNA_00446,0.012458399931904,0.007693375350191,-11.2042285979413,-38.9827528260541,-42.2171154850768,-38.25
Cell cycle and differentiation,Motility,Chemotaxis,cheYI:A0A0H3C4N9,cheYI,0.034831188246405,0.016291768548565,-11.2042285979413,-38.9827528260541,-42.2171154850768,-53.23
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_00803:A0A0H3C4M8,CCNA_00803,0.009854339544244,0.00484903035872,-11.2042285979413,-38.9827528260541,-42.2171154850768,-50.79
Cell cycle and differentiation,Motility,Chemotaxis,cheBII:A0A0H3C477,cheBII,,,-11.2042285979413,-38.9827528260541,-42.2171154850768,#VALUE!
Cell cycle and differentiation,Motility,Chemotaxis,cheY:A0A0H3C473,cheY,,,-11.2042285979413,-38.9827528260541,-42.2171154850768,#VALUE!
Cell cycle and differentiation,Motility,Chemotaxis,cheB:A0A0H3C3R5,cheB,0.058906498683229,0.042366891002918,-11.2042285979413,-38.9827528260541,-42.2171154850768,-28.08
Cell cycle and differentiation,Motility,Chemotaxis,CCNA_00440:A0A0H3C3R0,CCNA_00440,0.003470571375138,0.001743893964043,-11.2042285979413,-38.9827528260541,-42.2171154850768,-49.75
Cell cycle and differentiation,Cell cycle progression,Stalk morphogenesis,stpA:A0A0H3CCF8,stpA,0.008578001456118,0.006415001828801,-11.2042285979413,-6.38816066524645,-36.2573936801916,-25.22
Cell cycle and differentiation,Cell cycle progression,Stalk morphogenesis,tacA:A0A0H3CC96,tacA,0.001726633820216,0.000818022174405,-11.2042285979413,-6.38816066524645,-36.2573936801916,-52.62
Cell cycle and differentiation,Cell cycle progression,Stalk morphogenesis,stpB:A0A0H3CAY8,stpB,0.009492842877804,0.006944020345089,-11.2042285979413,-6.38816066524645,-36.2573936801916,-26.85
Cell cycle and differentiation,Cell cycle progression,Stalk morphogenesis,hfsB:A0A0H3CAV0,hfsB,0.001455627688631,0.000764171895127,-11.2042285979413,-6.38816066524645,-36.2573936801916,-47.50
Cell cycle and differentiation,Cell cycle progression,Stalk morphogenesis,hfsE:A0A0H3CAU6,hfsE,0.001772659076783,0.001841233975904,-11.2042285979413,-6.38816066524645,-36.2573936801916,+3.87
Cell cycle and differentiation,Cell cycle progression,Stalk morphogenesis,stpC:A0A0H3CAU4,stpC,0.002198716468131,0.002017029863403,-11.2042285979413,-6.38816066524645,-36.2573936801916,-8.26
Cell cycle and differentiation,Cell cycle progression,Stalk morphogenesis,pssZ:A0A0H3CAQ7,pssZ,0.001598930932596,0.000564960901904,-11.2042285979413,-6.38816066524645,-36.2573936801916,-64.67
Cell cycle and differentiation,Cell cycle progression,Stalk morphogenesis,stpD:A0A0H3C9Z9,stpD,0.025646851264422,0.014259962742405,-11.2042285979413,-6.38816066524645,-36.2573936801916,-44.40
Cell cycle and differentiation,Cell cycle progression,Stalk morphogenesis,hfaB:A0A0H3C9T7,hfaB,0.00656874844758,0.003534632426425,-11.2042285979413,-6.38816066524645,-36.2573936801916,-46.19
Cell cycle and differentiation,Cell cycle progression,Stalk morphogenesis,staR:A0A0H3C9J9,staR,0.001273692247219,0.000693010402047,-11.2042285979413,-6.38816066524645,-36.2573936801916,-45.59
Cell cycle and differentiation,Cell cycle progression,Stalk morphogenesis,hfsD:A0A0H3C9A5,hfsD,0.002025110253904,0.001593090019158,-11.2042285979413,-6.38816066524645,-36.2573936801916,-21.33
Cell cycle and differentiation,Cell cycle progression,Stalk morphogenesis,hfsG:A0A0H3C998,hfsG,0.004027482869073,0.002607994706248,-11.2042285979413,-6.38816066524645,-36.2573936801916,-35.25
Cell cycle and differentiation,Cell cycle progression,Stalk morphogenesis,shpA:A0A0H3C8T5,shpA,0.001010401160773,0.000765707156522,-11.2042285979413,-6.38816066524645,-36.2573936801916,-24.22
Cell cycle and differentiation,Cell cycle progression,Stalk morphogenesis,pssY:A0A0H3C645,pssY,0.000581919205408,0.000266459584397,-11.2042285979413,-6.38816066524645,-36.2573936801916,-54.21
Cell cycle and differentiation,Cell cycle progression,Stalk morphogenesis,shkA:A0A0H3C5A3,shkA,0.00196764774069,0.001544629044644,-11.2042285979413,-6.38816066524645,-36.2573936801916,-21.50
Cell cycle and differentiation,Cell cycle progression,Stalk morphogenesis,hfsJ:A0A0H3C3R6,hfsJ,0.00037757986943,0.000182938894938,-11.2042285979413,-6.38816066524645,-36.2573936801916,-51.55
Cell cycle and differentiation,Cell cycle progression,Division,mraZ:B8H0A3,mraZ,0.002899878998196,0.001630249724198,-11.2042285979413,-6.38816066524645,33.1149648298891,-43.78
Cell cycle and differentiation,Cell cycle progression,Division,ftsW:B8H092,ftsW,,,-11.2042285979413,-6.38816066524645,33.1149648298891,#VALUE!
Cell cycle and differentiation,Cell cycle progression,Division,ftsQ:B8H082,ftsQ,0.00413336624846,0.001123389522226,-11.2042285979413,-6.38816066524645,33.1149648298891,-72.82
Cell cycle and differentiation,Cell cycle progression,Division,ftsZ:B8H080,ftsZ,0.06132480006723,0.042118656050102,-11.2042285979413,-6.38816066524645,33.1149648298891,-31.32
Cell cycle and differentiation,Cell cycle progression,Division,ftsN:B8GX61,ftsN,0.074931080801536,0.041225228119959,-11.2042285979413,-6.38816066524645,33.1149648298891,-44.98
Cell cycle and differentiation,Cell cycle progression,Division,ftsY:A0A0H3CEE0,ftsY,0.012307478440347,0.010631160562226,-11.2042285979413,-6.38816066524645,33.1149648298891,-13.62
Cell cycle and differentiation,Cell cycle progression,Division,ftsK:A0A0H3CE63,ftsK,0.024081925471842,0.011764944059621,-11.2042285979413,-6.38816066524645,33.1149648298891,-51.15
Cell cycle and differentiation,Cell cycle progression,Division,CCNA_03792:A0A0H3CE37,CCNA_03792,0.000745083855194,0.00117474321512,-11.2042285979413,-6.38816066524645,33.1149648298891,+57.67
Cell cycle and differentiation,Cell cycle progression,Division,fzlA:A0A0H3CDY2,fzlA,0.004766609441735,0.005280039026531,-11.2042285979413,-6.38816066524645,33.1149648298891,+10.77
Cell cycle and differentiation,Cell cycle progression,Division,zapA:A0A0H3CCW6,zapA,0.003115401884906,0.003894149320644,-11.2042285979413,-6.38816066524645,33.1149648298891,+25.00
Cell cycle and differentiation,Cell cycle progression,Division,CCNA_03646:A0A0H3CC45,CCNA_03646,0.004566168603311,0.004548883494534,-11.2042285979413,-6.38816066524645,33.1149648298891,-0.38
Cell cycle and differentiation,Cell cycle progression,Division,ftsE:A0A0H3CBQ9,ftsE,0.002190520105653,0.001531934928375,-11.2042285979413,-6.38816066524645,33.1149648298891,-30.07
Cell cycle and differentiation,Cell cycle progression,Division,ybgF:A0A0H3CBB8,ybgF,0.015348983933742,0.020865294172371,-11.2042285979413,-6.38816066524645,33.1149648298891,+35.94
Cell cycle and differentiation,Cell cycle progression,Division,CCNA_02427:A0A0H3CAF3,CCNA_02427,0.003783104275691,0.002954140560434,-11.2042285979413,-6.38816066524645,33.1149648298891,-21.91
Cell cycle and differentiation,Cell cycle progression,Division,dipM:A0A0H3C9Q9,dipM,0.149994273319939,0.148531060360575,-11.2042285979413,-6.38816066524645,33.1149648298891,-0.98
Cell cycle and differentiation,Cell cycle progression,Division,ftsA:A0A0H3C9K0,ftsA,0.006390069484491,0.002988412671654,-11.2042285979413,-6.38816066524645,33.1149648298891,-53.23
Cell cycle and differentiation,Cell cycle progression,Division,CCNA_01952:A0A0H3C9I3,CCNA_01952,0.004959839705632,0.001709767208479,-11.2042285979413,-6.38816066524645,33.1149648298891,-65.53
Cell cycle and differentiation,Cell cycle progression,Division,ftsX:A0A0H3C8Q6,ftsX,,,-11.2042285979413,-6.38816066524645,33.1149648298891,#VALUE!
Cell cycle and differentiation,Cell cycle progression,Division,ftsB:A0A0H3C891,ftsB,,,-11.2042285979413,-6.38816066524645,33.1149648298891,#VALUE!
Cell cycle and differentiation,Cell cycle progression,Division,CCNA_01261:A0A0H3C6X3,CCNA_01261,0.011353869772639,0.015758106496151,-11.2042285979413,-6.38816066524645,33.1149648298891,+38.79
Cell cycle and differentiation,Cell cycle progression,Division,CCNA_00002:A0A0H3C5Q9,CCNA_00002,0.004747359204125,0.003994574216984,-11.2042285979413,-6.38816066524645,33.1149648298891,-15.86
Cell cycle and differentiation,Cell cycle progression,Division,CCNA_00851:A0A0H3C5Q7,CCNA_00851,0.137059518801644,0.383093738987405,-11.2042285979413,-6.38816066524645,33.1149648298891,+179.51
Cell cycle and differentiation,Cell cycle progression,Division,fzlC:A0A0H3C3S1,fzlC,0.002832025050279,0.002729306853898,-11.2042285979413,-6.38816066524645,33.1149648298891,-3.63
Cell cycle and differentiation,Cell cycle progression,Cytoskeleton,bacB:A0A0H3CDZ6,bacB,0.007921058765333,0.005948784152124,-11.2042285979413,-6.38816066524645,-43.2953800902069,-24.90
Cell cycle and differentiation,Cell cycle progression,Cytoskeleton,creS:A0A0H3CD98,creS,0.036554130462369,0.019270702853605,-11.2042285979413,-6.38816066524645,-43.2953800902069,-47.28
Cell cycle and differentiation,Cell cycle progression,Chromosome partitioning,mreC:B8H610,mreC,0.006604932694305,0.005101316374186,-11.2042285979413,-6.38816066524645,17.5638960393957,-22.77
Cell cycle and differentiation,Cell cycle progression,Chromosome partitioning,yihA:B8H1E7,yihA,0.012590945406748,0.017290271774681,-11.2042285979413,-6.38816066524645,17.5638960393957,+37.32
Cell cycle and differentiation,Cell cycle progression,Chromosome partitioning,smc:B8GZ28,smc,0.009762214277189,0.007864633242307,-11.2042285979413,-6.38816066524645,17.5638960393957,-19.44
Cell cycle and differentiation,Cell cycle progression,Chromosome partitioning,parA:B8GW31,parA,0.010505025119942,0.007586845069607,-11.2042285979413,-6.38816066524645,17.5638960393957,-27.78
Cell cycle and differentiation,Cell cycle progression,Chromosome partitioning,parB:B8GW30,parB,0.024896179597032,0.018142464895592,-11.2042285979413,-6.38816066524645,17.5638960393957,-27.13
Cell cycle and differentiation,Cell cycle progression,Chromosome partitioning,xerD:A0A0H3CCA1,xerD,,,-11.2042285979413,-6.38816066524645,17.5638960393957,#VALUE!
Cell cycle and differentiation,Cell cycle progression,Chromosome partitioning,CCNA_02180:A0A0H3CBE0,CCNA_02180,0.047838179202065,0.127515600328308,-11.2042285979413,-6.38816066524645,17.5638960393957,+166.56
Cell cycle and differentiation,Cell cycle progression,Chromosome partitioning,mipZ:A0A0H3CA70,mipZ,0.047375665317169,0.032436760070114,-11.2042285979413,-6.38816066524645,17.5638960393957,-31.53
Cell cycle and differentiation,Cell cycle progression,Chromosome partitioning,rodA:A0A0H3C9W3,rodA,0.002495708595953,0.001727602485282,-11.2042285979413,-6.38816066524645,17.5638960393957,-30.78
Cell cycle and differentiation,Cell cycle progression,Chromosome partitioning,scpA:A0A0H3C8X5,scpA,0.00064944982944,0.000606553025059,-11.2042285979413,-6.38816066524645,17.5638960393957,-6.61
Cell cycle and differentiation,Cell cycle progression,Chromosome partitioning,CCNA_01614:A0A0H3C8E0,CCNA_01614,,,-11.2042285979413,-6.38816066524645,17.5638960393957,#VALUE!
Cell cycle and differentiation,Cell cycle progression,Chromosome partitioning,scpB:A0A0H3C850,scpB,0.000357166238446,0.000255008461315,-11.2042285979413,-6.38816066524645,17.5638960393957,-28.60
Cell cycle and differentiation,Cell cycle progression,Chromosome partitioning,mreB:A0A0H3C7V4,mreB,0.090173476879555,0.079202268528503,-11.2042285979413,-6.38816066524645,17.5638960393957,-12.17
Cell cycle and differentiation,Cell cycle progression,Chromosome partitioning,CCNA_01606:A0A0H3C7U9,CCNA_01606,,,-11.2042285979413,-6.38816066524645,17.5638960393957,#VALUE!
Cell cycle and differentiation,Cell cycle progression,Chromosome partitioning,xerC:A0A0H3C5N6,xerC,,,-11.2042285979413,-6.38816066524645,17.5638960393957,#VALUE!
Cell cycle and differentiation,Cell cycle progression,Central cell cycle regulators and polarity determination,ctrA:B8H358,ctrA,0.01374186299218,0.008028522343885,-11.2042285979413,-6.38816066524645,-35.6309575497184,-41.58
Cell cycle and differentiation,Cell cycle progression,Central cell cycle regulators and polarity determination,pleD:B8GZM2,pleD,0.010137253722281,0.005929475679445,-11.2042285979413,-6.38816066524645,-35.6309575497184,-41.51
Cell cycle and differentiation,Cell cycle progression,Central cell cycle regulators and polarity determination,ccrM:B8GZ33,ccrM,0.002451874099213,0.001828797800158,-11.2042285979413,-6.38816066524645,-35.6309575497184,-25.41
Cell cycle and differentiation,Cell cycle progression,Central cell cycle regulators and polarity determination,podJ:B8GXA0,podJ,0.014535591051679,0.009211488132062,-11.2042285979413,-6.38816066524645,-35.6309575497184,-36.63
Cell cycle and differentiation,Cell cycle progression,Central cell cycle regulators and polarity determination,kidO:A0A0H3CDS3,kidO,0.003581967950936,0.001966932231603,-11.2042285979413,-6.38816066524645,-35.6309575497184,-45.09
